# label	width	volume	logical_seed	active_seed	reason	notes
canonical4	64c3	128	0	7	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	8	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	9	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	0	11	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	1	12	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	2	13	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	0	10	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	11	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	12	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	0	13	forward_accum8_warmup_repair_wave_20260418	L128_uniform_c3_batch32_accum8_warmup_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	14	forward_accum8_warmup_repair_wave_20260418	L128_uniform_c3_batch32_accum8_warmup_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	15	forward_accum8_warmup_repair_wave_20260418	L128_uniform_c3_batch32_accum8_warmup_then_anneal loss_path=forward fresh_replacement
